week,month,year,date,total_revenue,trend,prediction
49,12,2009,2009-12-01,232177.5100000049,0,177476.05181928584
50,12,2009,2009-12-07,207908.73000000304,1,177468.5459431102
51,12,2009,2009-12-14,207685.8700000016,2,177461.04006693454
52,12,2009,2009-12-21,35731.90000000004,3,177453.53419075886
1,1,2010,2010-01-04,167636.95000000086,4,125133.42001219421
2,1,2010,2010-01-11,125493.60999999892,5,125125.91413601855
3,1,2010,2010-01-18,119473.3509999989,6,125118.40825984288
4,1,2010,2010-01-25,143198.761,7,125110.90238366721
5,2,2010,2010-02-01,112299.69199999892,8,105886.46705451433
6,2,2010,2010-02-08,80059.6599999995,9,105878.96117833866
7,2,2010,2010-02-15,160506.4020000012,10,105871.455302163
8,2,2010,2010-02-22,151693.20200000104,11,105863.94942598735
9,3,2010,2010-03-01,151813.96000000116,12,129346.21113762062
10,3,2010,2010-03-08,118785.09999999893,13,129338.70526144495
11,3,2010,2010-03-15,164459.77100000027,14,129331.19938526928
12,3,2010,2010-03-22,172063.68000000075,15,129323.69350909362
13,3,2010,2010-03-29,89855.95999999967,16,129316.18763291796
13,4,2010,2010-04-01,28646.660000000076,17,106275.8213376207
14,4,2010,2010-04-06,124314.75999999935,18,106268.31546144505
15,4,2010,2010-04-12,141539.38099999944,19,106260.80958526937
16,4,2010,2010-04-19,138922.6199999997,20,106253.30370909371
17,4,2010,2010-04-26,158558.58099999974,21,106245.79783291805
17,5,2010,2010-05-02,12342.170000000013,22,116188.93566614809
18,5,2010,2010-05-04,149102.8300000001,23,116181.42978997243
19,5,2010,2010-05-10,155673.5400000018,24,116173.92391379677
20,5,2010,2010-05-17,138681.5699999983,25,116166.4180376211
21,5,2010,2010-05-24,142033.26999999874,26,116158.91216144543
22,6,2010,2010-06-01,90358.0599999986,27,129885.65897570839
23,6,2010,2010-06-07,200239.71000000244,28,129878.15309953272
24,6,2010,2010-06-14,126987.38999999831,29,129870.64722335705
25,6,2010,2010-06-21,103924.83999999861,30,129863.14134718139
