StockCode,Description,sales,revenue
10002,INFLATABLE POLITICAL GLOBE ,8479,6638
10080,GROOVY CACTUS INFLATABLE,303,124
10109,BENDY COLOUR PENCILS,4,1
10120,DOGGY RUBBER,648,136
10123C,HEARTS WRAPPING TAPE ,628,226
10123G,ARMY CAMO WRAPPING TAPE,2246,157
10124A,SPOTS ON RED BOOKCOVER TAPE,58,24
10124G,ARMY CAMO BOOKCOVER TAPE,32,13
10125,MINI FUNKY DESIGN TAPES,1970,1562
10133,COLOURING PENCILS BROWN TUBE,3307,1910
10134,COLOURING PENCILS BROWN TUBE,612,702
10135,COLOURING PENCILS BROWN TUBE,3887,4048
10138,ASSORTED COLOUR JUMBO PEN,247,103
11001,ASSTD DESIGN RACING CAR PEN,4273,6608
15030,FAN BLACK FRAME ,254,73
15034,PAPER POCKET TRAVELING FAN ,9818,1156
15036,ASSORTED COLOURS SILK FAN,40994,28766
15039,SANDALWOOD FAN,4146,2848
15044A,PINK PAPER PARASOL ,4894,12803
15044B,BLUE PAPER PARASOL ,1624,4376
15044C,PURPLE PAPER PARASOL,862,2428
15044D,RED PAPER PARASOL,1544,4252
15056BL,EDWARDIAN PARASOL BLACK,9351,45885
15056N,EDWARDIAN PARASOL NATURAL,10948,54332
15056P,EDWARDIAN PARASOL PINK,2436,11872
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104
15058A,BLUE WHITE SPOTS GARDEN PARASOL,271,1394
15058B,PINK POLKADOT GARDEN PARASOL,121,913
15058B,PINK WHITE SPOTS GARDEN PARASOL,180,1007
15058C,ICE CREAM DESIGN GARDEN PARASOL,413,1963
15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,1515
15060B,FAIRY CAKE DESIGN UMBRELLA,1137,4138
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,422
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,3
16011, ANIMAL STICKERS,385,80
16011,ANIMAL STICKERS,3427,718
16012,FOOD/DRINK SPONGE STICKERS,2118,444
16012,FOOD/DRINK SPUNGE STICKERS,759,158
16014,SMALL CHINESE STYLE SCISSOR,29354,9512
16015,MEDIUM CHINESE STYLE SCISSOR,1572,711
